Totales_Territoriales,Comunidades_Ciudades_Autonomas,Provincia,Viajeros_Pernoctaciones,Residencia,Periodo,Total,ID_viajeros
Total Nacional,Aragon,Teruel,Viajero,Espana,2023-05-31,26043,256
Total Nacional,Aragon,Teruel,Viajero,Espana,2023-04-30,38662,257
Total Nacional,Aragon,Teruel,Viajero,Espana,2023-03-31,27058,258
Total Nacional,Aragon,Teruel,Viajero,Espana,2023-02-28,26000,259
Total Nacional,Aragon,Teruel,Viajero,Espana,2023-01-31,18899,260
Total Nacional,Aragon,Teruel,Viajero,Extranjero,2023-09-30,6334,261
Total Nacional,Aragon,Teruel,Viajero,Extranjero,2023-08-31,6020,262
Total Nacional,Aragon,Teruel,Viajero,Extranjero,2023-07-31,4877,263
Total Nacional,Aragon,Teruel,Viajero,Extranjero,2023-06-30,4855,264
Total Nacional,Aragon,Teruel,Viajero,Extranjero,2023-05-31,6493,265
Total Nacional,Aragon,Teruel,Viajero,Extranjero,2023-04-30,4667,266
Total Nacional,Aragon,Teruel,Viajero,Extranjero,2023-03-31,3423,267
Total Nacional,Aragon,Teruel,Viajero,Extranjero,2023-02-28,2493,268
Total Nacional,Aragon,Teruel,Viajero,Extranjero,2023-01-31,1934,269
Total Nacional,Aragon,Zaragoza,Viajero,General,2023-09-30,146994,270
Total Nacional,Aragon,Zaragoza,Viajero,General,2023-08-31,160267,271
Total Nacional,Aragon,Zaragoza,Viajero,General,2023-07-31,140858,272
Total Nacional,Aragon,Zaragoza,Viajero,General,2023-06-30,128206,273
Total Nacional,Aragon,Zaragoza,Viajero,General,2023-05-31,130123,274
Total Nacional,Aragon,Zaragoza,Viajero,General,2023-04-30,141089,275
Total Nacional,Aragon,Zaragoza,Viajero,General,2023-03-31,119106,276
Total Nacional,Aragon,Zaragoza,Viajero,General,2023-02-28,91395,277
Total Nacional,Aragon,Zaragoza,Viajero,General,2023-01-31,81932,278
Total Nacional,Aragon,Zaragoza,Viajero,Espana,2023-09-30,105501,279
Total Nacional,Aragon,Zaragoza,Viajero,Espana,2023-08-31,107405,280
Total Nacional,Aragon,Zaragoza,Viajero,Espana,2023-07-31,96540,281
Total Nacional,Aragon,Zaragoza,Viajero,Espana,2023-06-30,95460,282
Total Nacional,Aragon,Zaragoza,Viajero,Espana,2023-05-31,91629,283
Total Nacional,Aragon,Zaragoza,Viajero,Espana,2023-04-30,109647,284
Total Nacional,Aragon,Zaragoza,Viajero,Espana,2023-03-31,93656,285
Total Nacional,Aragon,Zaragoza,Viajero,Espana,2023-02-28,71372,286
Total Nacional,Aragon,Zaragoza,Viajero,Espana,2023-01-31,63197,287
Total Nacional,Aragon,Zaragoza,Viajero,Extranjero,2023-09-30,41493,288
Total Nacional,Aragon,Zaragoza,Viajero,Extranjero,2023-08-31,52862,289
Total Nacional,Aragon,Zaragoza,Viajero,Extranjero,2023-07-31,44318,290
Total Nacional,Aragon,Zaragoza,Viajero,Extranjero,2023-06-30,32746,291
Total Nacional,Aragon,Zaragoza,Viajero,Extranjero,2023-05-31,38493,292
Total Nacional,Aragon,Zaragoza,Viajero,Extranjero,2023-04-30,31442,293
Total Nacional,Aragon,Zaragoza,Viajero,Extranjero,2023-03-31,25450,294
Total Nacional,Aragon,Zaragoza,Viajero,Extranjero,2023-02-28,20024,295
Total Nacional,Aragon,Zaragoza,Viajero,Extranjero,2023-01-31,18735,296
Total Nacional,Principado de asturias,Asturias,Viajero,General,2023-09-30,235417,297
Total Nacional,Principado de asturias,Asturias,Viajero,General,2023-08-31,272339,298
Total Nacional,Principado de asturias,Asturias,Viajero,General,2023-07-31,257441,299
Total Nacional,Principado de asturias,Asturias,Viajero,General,2023-06-30,203376,300
Total Nacional,Principado de asturias,Asturias,Viajero,General,2023-05-31,166139,301
Total Nacional,Principado de asturias,Asturias,Viajero,General,2023-04-30,173845,302
Total Nacional,Principado de asturias,Asturias,Viajero,General,2023-03-31,104269,303
Total Nacional,Principado de asturias,Asturias,Viajero,General,2023-02-28,81532,304
Total Nacional,Principado de asturias,Asturias,Viajero,General,2023-01-31,68408,305
Total Nacional,Principado de asturias,Asturias,Viajero,Espana,2023-09-30,175237,306
Total Nacional,Principado de asturias,Asturias,Viajero,Espana,2023-08-31,219591,307
Total Nacional,Principado de asturias,Asturias,Viajero,Espana,2023-07-31,207280,308
Total Nacional,Principado de asturias,Asturias,Viajero,Espana,2023-06-30,150489,309
Total Nacional,Principado de asturias,Asturias,Viajero,Espana,2023-05-31,117304,310
Total Nacional,Principado de asturias,Asturias,Viajero,Espana,2023-04-30,145263,311
Total Nacional,Principado de asturias,Asturias,Viajero,Espana,2023-03-31,91149,312
Total Nacional,Principado de asturias,Asturias,Viajero,Espana,2023-02-28,72532,313
Total Nacional,Principado de asturias,Asturias,Viajero,Espana,2023-01-31,61035,314
Total Nacional,Principado de asturias,Asturias,Viajero,Extranjero,2023-09-30,60180,315
Total Nacional,Principado de asturias,Asturias,Viajero,Extranjero,2023-08-31,52748,316
Total Nacional,Principado de asturias,Asturias,Viajero,Extranjero,2023-07-31,50161,317
Total Nacional,Principado de asturias,Asturias,Viajero,Extranjero,2023-06-30,52887,318
Total Nacional,Principado de asturias,Asturias,Viajero,Extranjero,2023-05-31,48836,319
Total Nacional,Principado de asturias,Asturias,Viajero,Extranjero,2023-04-30,28581,320
Total Nacional,Principado de asturias,Asturias,Viajero,Extranjero,2023-03-31,13120,321
Total Nacional,Principado de asturias,Asturias,Viajero,Extranjero,2023-02-28,9000,322
Total Nacional,Principado de asturias,Asturias,Viajero,Extranjero,2023-01-31,7373,323
Total Nacional,Islas baleares,Islas baleares,Viajero,General,2023-09-30,1677754,324
Total Nacional,Islas baleares,Islas baleares,Viajero,General,2023-08-31,1940485,325
Total Nacional,Islas baleares,Islas baleares,Viajero,General,2023-07-31,1947381,326
Total Nacional,Islas baleares,Islas baleares,Viajero,General,2023-06-30,1858620,327
Total Nacional,Islas baleares,Islas baleares,Viajero,General,2023-05-31,1507859,328
Total Nacional,Islas baleares,Islas baleares,Viajero,General,2023-04-30,776864,329
Total Nacional,Islas baleares,Islas baleares,Viajero,General,2023-03-31,233738,330
Total Nacional,Islas baleares,Islas baleares,Viajero,General,2023-02-28,128873,331
Total Nacional,Islas baleares,Islas baleares,Viajero,General,2023-01-31,75556,332
