Totales_Territoriales,Comunidades_Ciudades_Autonomas,Provincia,Viajeros_Pernoctaciones,Residencia,Periodo,Total
Total Nacional,Principado de asturias,-,Viajero,General,2023-05-01,166139
Total Nacional,Principado de asturias,-,Viajero,General,2023-04-01,173845
Total Nacional,Principado de asturias,-,Viajero,General,2023-03-01,104269
Total Nacional,Principado de asturias,-,Viajero,General,2023-02-01,81532
Total Nacional,Principado de asturias,-,Viajero,General,2023-01-01,68408
Total Nacional,Principado de asturias,-,Viajero,Espana,2023-09-01,175237
Total Nacional,Principado de asturias,-,Viajero,Espana,2023-08-01,219591
Total Nacional,Principado de asturias,-,Viajero,Espana,2023-07-01,207280
Total Nacional,Principado de asturias,-,Viajero,Espana,2023-06-01,150489
Total Nacional,Principado de asturias,-,Viajero,Espana,2023-05-01,117304
Total Nacional,Principado de asturias,-,Viajero,Espana,2023-04-01,145263
Total Nacional,Principado de asturias,-,Viajero,Espana,2023-03-01,91149
Total Nacional,Principado de asturias,-,Viajero,Espana,2023-02-01,72532
Total Nacional,Principado de asturias,-,Viajero,Espana,2023-01-01,61035
Total Nacional,Principado de asturias,-,Viajero,Extranjero,2023-09-01,60180
Total Nacional,Principado de asturias,-,Viajero,Extranjero,2023-08-01,52748
Total Nacional,Principado de asturias,-,Viajero,Extranjero,2023-07-01,50161
Total Nacional,Principado de asturias,-,Viajero,Extranjero,2023-06-01,52887
Total Nacional,Principado de asturias,-,Viajero,Extranjero,2023-05-01,48836
Total Nacional,Principado de asturias,-,Viajero,Extranjero,2023-04-01,28581
Total Nacional,Principado de asturias,-,Viajero,Extranjero,2023-03-01,13120
Total Nacional,Principado de asturias,-,Viajero,Extranjero,2023-02-01,9000
Total Nacional,Principado de asturias,-,Viajero,Extranjero,2023-01-01,7373
Total Nacional,Principado de asturias,-,Pernoctaciones,General,2023-09-01,471324
Total Nacional,Principado de asturias,-,Pernoctaciones,General,2023-08-01,673183
Total Nacional,Principado de asturias,-,Pernoctaciones,General,2023-07-01,578794
Total Nacional,Principado de asturias,-,Pernoctaciones,General,2023-06-01,399819
Total Nacional,Principado de asturias,-,Pernoctaciones,General,2023-05-01,306803
Total Nacional,Principado de asturias,-,Pernoctaciones,General,2023-04-01,348636
Total Nacional,Principado de asturias,-,Pernoctaciones,General,2023-03-01,202782
Total Nacional,Principado de asturias,-,Pernoctaciones,General,2023-02-01,151671
Total Nacional,Principado de asturias,-,Pernoctaciones,General,2023-01-01,130417
Total Nacional,Principado de asturias,-,Pernoctaciones,Espana,2023-09-01,362333
Total Nacional,Principado de asturias,-,Pernoctaciones,Espana,2023-08-01,566540
Total Nacional,Principado de asturias,-,Pernoctaciones,Espana,2023-07-01,482604
Total Nacional,Principado de asturias,-,Pernoctaciones,Espana,2023-06-01,302059
Total Nacional,Principado de asturias,-,Pernoctaciones,Espana,2023-05-01,222052
Total Nacional,Principado de asturias,-,Pernoctaciones,Espana,2023-04-01,295511
Total Nacional,Principado de asturias,-,Pernoctaciones,Espana,2023-03-01,168202
Total Nacional,Principado de asturias,-,Pernoctaciones,Espana,2023-02-01,129073
Total Nacional,Principado de asturias,-,Pernoctaciones,Espana,2023-01-01,110246
Total Nacional,Principado de asturias,-,Pernoctaciones,Extranjero,2023-09-01,108991
Total Nacional,Principado de asturias,-,Pernoctaciones,Extranjero,2023-08-01,106643
Total Nacional,Principado de asturias,-,Pernoctaciones,Extranjero,2023-07-01,96189
Total Nacional,Principado de asturias,-,Pernoctaciones,Extranjero,2023-06-01,97760
Total Nacional,Principado de asturias,-,Pernoctaciones,Extranjero,2023-05-01,84751
Total Nacional,Principado de asturias,-,Pernoctaciones,Extranjero,2023-04-01,53125
Total Nacional,Principado de asturias,-,Pernoctaciones,Extranjero,2023-03-01,34581
Total Nacional,Principado de asturias,-,Pernoctaciones,Extranjero,2023-02-01,22598
Total Nacional,Principado de asturias,-,Pernoctaciones,Extranjero,2023-01-01,20171
Total Nacional,Islas baleares,-,Viajero,General,2023-09-01,1677754
Total Nacional,Islas baleares,-,Viajero,General,2023-08-01,1940485
Total Nacional,Islas baleares,-,Viajero,General,2023-07-01,1947381
Total Nacional,Islas baleares,-,Viajero,General,2023-06-01,1858620
Total Nacional,Islas baleares,-,Viajero,General,2023-05-01,1507859
Total Nacional,Islas baleares,-,Viajero,General,2023-04-01,776864
Total Nacional,Islas baleares,-,Viajero,General,2023-03-01,233738
Total Nacional,Islas baleares,-,Viajero,General,2023-02-01,128873
Total Nacional,Islas baleares,-,Viajero,General,2023-01-01,75556
Total Nacional,Islas baleares,-,Viajero,Espana,2023-09-01,175619
Total Nacional,Islas baleares,-,Viajero,Espana,2023-08-01,242454
Total Nacional,Islas baleares,-,Viajero,Espana,2023-07-01,240051
Total Nacional,Islas baleares,-,Viajero,Espana,2023-06-01,262062
Total Nacional,Islas baleares,-,Viajero,Espana,2023-05-01,187397
Total Nacional,Islas baleares,-,Viajero,Espana,2023-04-01,110748
Total Nacional,Islas baleares,-,Viajero,Espana,2023-03-01,62997
Total Nacional,Islas baleares,-,Viajero,Espana,2023-02-01,47551
Total Nacional,Islas baleares,-,Viajero,Espana,2023-01-01,35211
Total Nacional,Islas baleares,-,Viajero,Extranjero,2023-09-01,1502135
Total Nacional,Islas baleares,-,Viajero,Extranjero,2023-08-01,1698031
Total Nacional,Islas baleares,-,Viajero,Extranjero,2023-07-01,1707329
Total Nacional,Islas baleares,-,Viajero,Extranjero,2023-06-01,1596559
Total Nacional,Islas baleares,-,Viajero,Extranjero,2023-05-01,1320461
Total Nacional,Islas baleares,-,Viajero,Extranjero,2023-04-01,666116
Total Nacional,Islas baleares,-,Viajero,Extranjero,2023-03-01,170740
Total Nacional,Islas baleares,-,Viajero,Extranjero,2023-02-01,81322
Total Nacional,Islas baleares,-,Viajero,Extranjero,2023-01-01,40344
Total Nacional,Islas baleares,-,Pernoctaciones,General,2023-09-01,9100655
Total Nacional,Islas baleares,-,Pernoctaciones,General,2023-08-01,11045064
Total Nacional,Islas baleares,-,Pernoctaciones,General,2023-07-01,10566115
Total Nacional,Islas baleares,-,Pernoctaciones,General,2023-06-01,9098561
Total Nacional,Islas baleares,-,Pernoctaciones,General,2023-05-01,7395731
Total Nacional,Islas baleares,-,Pernoctaciones,General,2023-04-01,3419094
Total Nacional,Islas baleares,-,Pernoctaciones,General,2023-03-01,966435
Total Nacional,Islas baleares,-,Pernoctaciones,General,2023-02-01,476678
Total Nacional,Islas baleares,-,Pernoctaciones,General,2023-01-01,238404
Total Nacional,Islas baleares,-,Pernoctaciones,Espana,2023-09-01,654444
Total Nacional,Islas baleares,-,Pernoctaciones,Espana,2023-08-01,1076948
Total Nacional,Islas baleares,-,Pernoctaciones,Espana,2023-07-01,983814
Total Nacional,Islas baleares,-,Pernoctaciones,Espana,2023-06-01,906912
Total Nacional,Islas baleares,-,Pernoctaciones,Espana,2023-05-01,596556
Total Nacional,Islas baleares,-,Pernoctaciones,Espana,2023-04-01,295818
Total Nacional,Islas baleares,-,Pernoctaciones,Espana,2023-03-01,177529
Total Nacional,Islas baleares,-,Pernoctaciones,Espana,2023-02-01,102698
Total Nacional,Islas baleares,-,Pernoctaciones,Espana,2023-01-01,86019
Total Nacional,Islas baleares,-,Pernoctaciones,Extranjero,2023-09-01,8446210
Total Nacional,Islas baleares,-,Pernoctaciones,Extranjero,2023-08-01,9968116
Total Nacional,Islas baleares,-,Pernoctaciones,Extranjero,2023-07-01,9582302
Total Nacional,Islas baleares,-,Pernoctaciones,Extranjero,2023-06-01,8191649
Total Nacional,Islas baleares,-,Pernoctaciones,Extranjero,2023-05-01,6799175
Total Nacional,Islas baleares,-,Pernoctaciones,Extranjero,2023-04-01,3123276
Total Nacional,Islas baleares,-,Pernoctaciones,Extranjero,2023-03-01,788906
Total Nacional,Islas baleares,-,Pernoctaciones,Extranjero,2023-02-01,373980
Total Nacional,Islas baleares,-,Pernoctaciones,Extranjero,2023-01-01,152385
Total Nacional,Canarias,-,Viajero,General,2023-09-01,871238
Total Nacional,Canarias,-,Viajero,General,2023-08-01,966187
Total Nacional,Canarias,-,Viajero,General,2023-07-01,967317
Total Nacional,Canarias,-,Viajero,General,2023-06-01,861990
Total Nacional,Canarias,-,Viajero,General,2023-05-01,825558
Total Nacional,Canarias,-,Viajero,General,2023-04-01,914244
Total Nacional,Canarias,-,Viajero,General,2023-03-01,894065
Total Nacional,Canarias,-,Viajero,General,2023-02-01,824229
Total Nacional,Canarias,-,Viajero,General,2023-01-01,805193
Total Nacional,Canarias,-,Viajero,Espana,2023-09-01,234709
Total Nacional,Canarias,-,Viajero,Espana,2023-08-01,298116
Total Nacional,Canarias,-,Viajero,Espana,2023-07-01,287852
Total Nacional,Canarias,-,Viajero,Espana,2023-06-01,240184
Total Nacional,Canarias,-,Viajero,Espana,2023-05-01,208739
Total Nacional,Canarias,-,Viajero,Espana,2023-04-01,224341
Total Nacional,Canarias,-,Viajero,Espana,2023-03-01,155931
Total Nacional,Canarias,-,Viajero,Espana,2023-02-01,125141
Total Nacional,Canarias,-,Viajero,Espana,2023-01-01,128768
Total Nacional,Canarias,-,Viajero,Extranjero,2023-09-01,636529
Total Nacional,Canarias,-,Viajero,Extranjero,2023-08-01,668071
Total Nacional,Canarias,-,Viajero,Extranjero,2023-07-01,679465
Total Nacional,Canarias,-,Viajero,Extranjero,2023-06-01,621806
Total Nacional,Canarias,-,Viajero,Extranjero,2023-05-01,616818
Total Nacional,Canarias,-,Viajero,Extranjero,2023-04-01,689903
Total Nacional,Canarias,-,Viajero,Extranjero,2023-03-01,738134
Total Nacional,Canarias,-,Viajero,Extranjero,2023-02-01,699088
Total Nacional,Canarias,-,Viajero,Extranjero,2023-01-01,676426
Total Nacional,Canarias,-,Pernoctaciones,General,2023-09-01,5835103
Total Nacional,Canarias,-,Pernoctaciones,General,2023-08-01,6502919
Total Nacional,Canarias,-,Pernoctaciones,General,2023-07-01,6251835
Total Nacional,Canarias,-,Pernoctaciones,General,2023-06-01,5443930
Total Nacional,Canarias,-,Pernoctaciones,General,2023-05-01,5144803
Total Nacional,Canarias,-,Pernoctaciones,General,2023-04-01,5532582
Total Nacional,Canarias,-,Pernoctaciones,General,2023-03-01,5789232
Total Nacional,Canarias,-,Pernoctaciones,General,2023-02-01,5475474
Total Nacional,Canarias,-,Pernoctaciones,General,2023-01-01,5703399
Total Nacional,Canarias,-,Pernoctaciones,Espana,2023-09-01,930639
Total Nacional,Canarias,-,Pernoctaciones,Espana,2023-08-01,1331447
Total Nacional,Canarias,-,Pernoctaciones,Espana,2023-07-01,1151916
Total Nacional,Canarias,-,Pernoctaciones,Espana,2023-06-01,854579
Total Nacional,Canarias,-,Pernoctaciones,Espana,2023-05-01,724037
Total Nacional,Canarias,-,Pernoctaciones,Espana,2023-04-01,766813
Total Nacional,Canarias,-,Pernoctaciones,Espana,2023-03-01,543626
Total Nacional,Canarias,-,Pernoctaciones,Espana,2023-02-01,464144
Total Nacional,Canarias,-,Pernoctaciones,Espana,2023-01-01,525817
Total Nacional,Canarias,-,Pernoctaciones,Extranjero,2023-09-01,4904464
Total Nacional,Canarias,-,Pernoctaciones,Extranjero,2023-08-01,5171472
Total Nacional,Canarias,-,Pernoctaciones,Extranjero,2023-07-01,5099919
Total Nacional,Canarias,-,Pernoctaciones,Extranjero,2023-06-01,4589350
Total Nacional,Canarias,-,Pernoctaciones,Extranjero,2023-05-01,4420766
Total Nacional,Canarias,-,Pernoctaciones,Extranjero,2023-04-01,4765769
Total Nacional,Canarias,-,Pernoctaciones,Extranjero,2023-03-01,5245606
Total Nacional,Canarias,-,Pernoctaciones,Extranjero,2023-02-01,5011330
Total Nacional,Canarias,-,Pernoctaciones,Extranjero,2023-01-01,5177582
Total Nacional,Cantabria,-,Viajero,General,2023-09-01,150367
Total Nacional,Cantabria,-,Viajero,General,2023-08-01,215073
Total Nacional,Cantabria,-,Viajero,General,2023-07-01,196978
Total Nacional,Cantabria,-,Viajero,General,2023-06-01,150882
Total Nacional,Cantabria,-,Viajero,General,2023-05-01,116389
Total Nacional,Cantabria,-,Viajero,General,2023-04-01,128861
Total Nacional,Cantabria,-,Viajero,General,2023-03-01,72903
Total Nacional,Cantabria,-,Viajero,General,2023-02-01,56000
Total Nacional,Cantabria,-,Viajero,General,2023-01-01,41591
Total Nacional,Cantabria,-,Viajero,Espana,2023-09-01,104286
Total Nacional,Cantabria,-,Viajero,Espana,2023-08-01,172708
Total Nacional,Cantabria,-,Viajero,Espana,2023-07-01,156398
Total Nacional,Cantabria,-,Viajero,Espana,2023-06-01,110196
Total Nacional,Cantabria,-,Viajero,Espana,2023-05-01,78991
Total Nacional,Cantabria,-,Viajero,Espana,2023-04-01,104755
Total Nacional,Cantabria,-,Viajero,Espana,2023-03-01,59412
Total Nacional,Cantabria,-,Viajero,Espana,2023-02-01,46647
Total Nacional,Cantabria,-,Viajero,Espana,2023-01-01,34049
Total Nacional,Cantabria,-,Viajero,Extranjero,2023-09-01,46081
Total Nacional,Cantabria,-,Viajero,Extranjero,2023-08-01,42365
Total Nacional,Cantabria,-,Viajero,Extranjero,2023-07-01,40580
Total Nacional,Cantabria,-,Viajero,Extranjero,2023-06-01,40686
Total Nacional,Cantabria,-,Viajero,Extranjero,2023-05-01,37398
Total Nacional,Cantabria,-,Viajero,Extranjero,2023-04-01,24106
Total Nacional,Cantabria,-,Viajero,Extranjero,2023-03-01,13490
Total Nacional,Cantabria,-,Viajero,Extranjero,2023-02-01,9353
Total Nacional,Cantabria,-,Viajero,Extranjero,2023-01-01,7542
Total Nacional,Cantabria,-,Pernoctaciones,General,2023-09-01,324933
Total Nacional,Cantabria,-,Pernoctaciones,General,2023-08-01,534911
Total Nacional,Cantabria,-,Pernoctaciones,General,2023-07-01,461710
Total Nacional,Cantabria,-,Pernoctaciones,General,2023-06-01,305500
Total Nacional,Cantabria,-,Pernoctaciones,General,2023-05-01,229273
Total Nacional,Cantabria,-,Pernoctaciones,General,2023-04-01,258037
Total Nacional,Cantabria,-,Pernoctaciones,General,2023-03-01,138611
Total Nacional,Cantabria,-,Pernoctaciones,General,2023-02-01,96341
Total Nacional,Cantabria,-,Pernoctaciones,General,2023-01-01,69549
Total Nacional,Cantabria,-,Pernoctaciones,Espana,2023-09-01,236925
Total Nacional,Cantabria,-,Pernoctaciones,Espana,2023-08-01,453424
Total Nacional,Cantabria,-,Pernoctaciones,Espana,2023-07-01,384918
Total Nacional,Cantabria,-,Pernoctaciones,Espana,2023-06-01,229215
Total Nacional,Cantabria,-,Pernoctaciones,Espana,2023-05-01,157368
Total Nacional,Cantabria,-,Pernoctaciones,Espana,2023-04-01,212101
Total Nacional,Cantabria,-,Pernoctaciones,Espana,2023-03-01,110605
Total Nacional,Cantabria,-,Pernoctaciones,Espana,2023-02-01,77911
Total Nacional,Cantabria,-,Pernoctaciones,Espana,2023-01-01,55806
Total Nacional,Cantabria,-,Pernoctaciones,Extranjero,2023-09-01,88008
Total Nacional,Cantabria,-,Pernoctaciones,Extranjero,2023-08-01,81487
Total Nacional,Cantabria,-,Pernoctaciones,Extranjero,2023-07-01,76792
Total Nacional,Cantabria,-,Pernoctaciones,Extranjero,2023-06-01,76284
Total Nacional,Cantabria,-,Pernoctaciones,Extranjero,2023-05-01,71905
Total Nacional,Cantabria,-,Pernoctaciones,Extranjero,2023-04-01,45936
Total Nacional,Cantabria,-,Pernoctaciones,Extranjero,2023-03-01,28006
