,provincia,media_tmed,media_prec,media_sol,media_tmin,media_tmax,año,mes,fecha_str,fecha
237,PONTEVEDRA,17.95,3.42,7.13,13.66,22.24,2018,junio,2018-junio,2018-06-01
238,SALAMANCA,17.47,1.65,8.41,11.4,23.55,2018,junio,2018-junio,2018-06-01
239,SEGOVIA,15.74,2.37,8.18,10.92,20.56,2018,junio,2018-junio,2018-06-01
240,SEVILLA,22.01,0.11,10.78,14.89,29.13,2018,junio,2018-junio,2018-06-01
241,SORIA,17.51,5.45,8.36,10.74,24.27,2018,junio,2018-junio,2018-06-01
242,STA. CRUZ DE TENERIFE,20.36,0.06,8.8,17.15,23.57,2018,junio,2018-junio,2018-06-01
243,TARRAGONA,23.43,0.39,10.26,18.69,28.18,2018,junio,2018-junio,2018-06-01
244,TERUEL,20.23,1.19,9.33,13.16,27.3,2018,junio,2018-junio,2018-06-01
245,TOLEDO,21.34,0.88,10.47,14.73,27.95,2018,junio,2018-junio,2018-06-01
246,VALENCIA,22.9,2.33,10.29,17.5,28.3,2018,junio,2018-junio,2018-06-01
247,VALLADOLID,18.16,3.44,9.07,11.97,24.39,2018,junio,2018-junio,2018-06-01
248,ZAMORA,19.02,2.59,9.17,12.06,25.97,2018,junio,2018-junio,2018-06-01
249,ZARAGOZA,20.53,1.79,9.94,14.29,26.77,2018,junio,2018-junio,2018-06-01
250,A CORUÑA,19.32,1.05,6.6,15.86,22.79,2018,julio,2018-julio,2018-07-01
251,ALBACETE,25.5,0.06,13.03,17.39,33.62,2018,julio,2018-julio,2018-07-01
252,ALICANTE,25.78,0.0,12.19,19.96,31.6,2018,julio,2018-julio,2018-07-01
253,ALMERIA,24.68,0.0,11.57,19.72,29.64,2018,julio,2018-julio,2018-07-01
254,ARABA/ALAVA,20.7,2.18,8.12,14.39,27.03,2018,julio,2018-julio,2018-07-01
255,ASTURIAS,18.64,3.02,4.88,15.36,21.91,2018,julio,2018-julio,2018-07-01
256,AVILA,21.43,0.32,12.14,13.81,29.04,2018,julio,2018-julio,2018-07-01
257,BADAJOZ,24.42,0.05,12.32,16.22,32.63,2018,julio,2018-julio,2018-07-01
258,BARCELONA,25.26,0.7,10.98,20.32,30.2,2018,julio,2018-julio,2018-07-01
259,BIZKAIA,21.25,1.93,4.89,17.87,24.61,2018,julio,2018-julio,2018-07-01
260,BURGOS,20.29,1.49,9.92,12.52,28.02,2018,julio,2018-julio,2018-07-01
261,CACERES,24.75,0.02,11.9,17.02,32.48,2018,julio,2018-julio,2018-07-01
262,CADIZ,22.44,0.0,12.53,17.63,27.25,2018,julio,2018-julio,2018-07-01
263,CANTABRIA,20.22,4.64,6.56,16.54,23.91,2018,julio,2018-julio,2018-07-01
264,CASTELLON,23.51,0.62,11.1,17.94,29.07,2018,julio,2018-julio,2018-07-01
265,CIUDAD REAL,25.6,0.0,11.46,17.51,33.68,2018,julio,2018-julio,2018-07-01
266,CORDOBA,24.73,0.0,12.33,16.67,32.79,2018,julio,2018-julio,2018-07-01
267,CUENCA,24.19,0.02,9.43,15.59,32.79,2018,julio,2018-julio,2018-07-01
268,GIPUZKOA,21.59,4.06,7.09,17.95,25.23,2018,julio,2018-julio,2018-07-01
269,GIRONA,22.16,2.76,9.98,15.06,29.26,2018,julio,2018-julio,2018-07-01
270,GRANADA,25.11,0.0,13.17,16.03,34.2,2018,julio,2018-julio,2018-07-01
271,GUADALAJARA,21.98,0.11,10.47,13.55,30.41,2018,julio,2018-julio,2018-07-01
272,HUELVA,22.83,0.0,12.96,16.98,28.69,2018,julio,2018-julio,2018-07-01
273,HUESCA,22.17,1.18,9.83,14.64,29.72,2018,julio,2018-julio,2018-07-01
274,ILLES BALEARS,25.57,0.13,11.62,20.5,30.63,2018,julio,2018-julio,2018-07-01
275,JAEN,25.79,0.0,12.14,17.94,33.65,2018,julio,2018-julio,2018-07-01
276,LA RIOJA,23.6,2.08,10.86,16.82,30.37,2018,julio,2018-julio,2018-07-01
277,LAS PALMAS,23.31,0.0,9.71,20.25,26.37,2018,julio,2018-julio,2018-07-01
278,LEON,19.44,1.47,9.74,12.92,25.94,2018,julio,2018-julio,2018-07-01
279,LLEIDA,23.85,1.43,11.95,16.22,31.47,2018,julio,2018-julio,2018-07-01
280,LUGO,19.34,1.65,6.33,14.6,24.08,2018,julio,2018-julio,2018-07-01
