Totales_Territoriales,Comunidades_Ciudades_Autonomas,Provincia,Viajeros_Pernoctaciones,Residencia,Periodo,Total,ID_viajeros,Población,Latitud,Longitud,ID_latitud_longitud
Total Nacional,Andalucia,Almeria,Viajero,Espana,2018-01-01 00:00:00,27864,8573,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Extranjero,2018-12-01 00:00:00,8725,8574,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Extranjero,2018-11-01 00:00:00,12389,8575,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Extranjero,2018-10-01 00:00:00,34288,8576,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Extranjero,2018-09-01 00:00:00,47759,8577,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Extranjero,2018-08-01 00:00:00,57449,8578,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Extranjero,2018-07-01 00:00:00,49047,8579,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Extranjero,2018-06-01 00:00:00,44055,8580,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Extranjero,2018-05-01 00:00:00,39624,8581,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Extranjero,2018-04-01 00:00:00,23033,8582,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Extranjero,2018-03-01 00:00:00,17147,8583,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Extranjero,2018-02-01 00:00:00,12173,8584,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,Extranjero,2018-01-01 00:00:00,10077,8585,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,General,2017-12-01 00:00:00,52557,10350,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,General,2017-11-01 00:00:00,55925,10351,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,General,2017-10-01 00:00:00,103146,10352,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,General,2017-09-01 00:00:00,175567,10353,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,General,2017-08-01 00:00:00,219463,10354,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Viajero,General,2017-07-01 00:00:00,215630,10355,190013,36.83892362,-2.46413188,3
