Totales_Territoriales,Comunidades_Ciudades_Autonomas,Provincia,Viajeros_Pernoctaciones,Residencia,Periodo,Total
Total Nacional,Andalucia,Sevilla,Viajero,Extranjero,2023-02-01,116853
Total Nacional,Andalucia,Sevilla,Viajero,Extranjero,2023-01-01,110007
Total Nacional,Aragon,Huesca,Viajero,General,2023-09-01,81849
Total Nacional,Aragon,Huesca,Viajero,General,2023-08-01,129651
Total Nacional,Aragon,Huesca,Viajero,General,2023-07-01,106898
Total Nacional,Aragon,Huesca,Viajero,General,2023-06-01,74137
Total Nacional,Aragon,Huesca,Viajero,General,2023-05-01,52159
Total Nacional,Aragon,Huesca,Viajero,General,2023-04-01,66846
Total Nacional,Aragon,Huesca,Viajero,General,2023-03-01,67415
Total Nacional,Aragon,Huesca,Viajero,General,2023-02-01,75855
Total Nacional,Aragon,Huesca,Viajero,General,2023-01-01,64439
Total Nacional,Aragon,Huesca,Viajero,Espana,2023-09-01,62893
Total Nacional,Aragon,Huesca,Viajero,Espana,2023-08-01,106424
Total Nacional,Aragon,Huesca,Viajero,Espana,2023-07-01,84105
Total Nacional,Aragon,Huesca,Viajero,Espana,2023-06-01,55588
Total Nacional,Aragon,Huesca,Viajero,Espana,2023-05-01,36604
Total Nacional,Aragon,Huesca,Viajero,Espana,2023-04-01,56184
Total Nacional,Aragon,Huesca,Viajero,Espana,2023-03-01,61782
Total Nacional,Aragon,Huesca,Viajero,Espana,2023-02-01,68026
Total Nacional,Aragon,Huesca,Viajero,Espana,2023-01-01,59672
Total Nacional,Aragon,Huesca,Viajero,Extranjero,2023-09-01,18956
Total Nacional,Aragon,Huesca,Viajero,Extranjero,2023-08-01,23227
Total Nacional,Aragon,Huesca,Viajero,Extranjero,2023-07-01,22793
Total Nacional,Aragon,Huesca,Viajero,Extranjero,2023-06-01,18549
Total Nacional,Aragon,Huesca,Viajero,Extranjero,2023-05-01,15555
Total Nacional,Aragon,Huesca,Viajero,Extranjero,2023-04-01,10662
Total Nacional,Aragon,Huesca,Viajero,Extranjero,2023-03-01,5633
Total Nacional,Aragon,Huesca,Viajero,Extranjero,2023-02-01,7829
Total Nacional,Aragon,Huesca,Viajero,Extranjero,2023-01-01,4767
Total Nacional,Aragon,Teruel,Viajero,General,2023-09-01,40609
Total Nacional,Aragon,Teruel,Viajero,General,2023-08-01,53688
Total Nacional,Aragon,Teruel,Viajero,General,2023-07-01,39045
Total Nacional,Aragon,Teruel,Viajero,General,2023-06-01,35438
Total Nacional,Aragon,Teruel,Viajero,General,2023-05-01,32536
Total Nacional,Aragon,Teruel,Viajero,General,2023-04-01,43330
Total Nacional,Aragon,Teruel,Viajero,General,2023-03-01,30481
Total Nacional,Aragon,Teruel,Viajero,General,2023-02-01,28493
Total Nacional,Aragon,Teruel,Viajero,General,2023-01-01,20833
Total Nacional,Aragon,Teruel,Viajero,Espana,2023-09-01,34274
Total Nacional,Aragon,Teruel,Viajero,Espana,2023-08-01,47668
Total Nacional,Aragon,Teruel,Viajero,Espana,2023-07-01,34168
Total Nacional,Aragon,Teruel,Viajero,Espana,2023-06-01,30584
Total Nacional,Aragon,Teruel,Viajero,Espana,2023-05-01,26043
Total Nacional,Aragon,Teruel,Viajero,Espana,2023-04-01,38662
Total Nacional,Aragon,Teruel,Viajero,Espana,2023-03-01,27058
Total Nacional,Aragon,Teruel,Viajero,Espana,2023-02-01,26000
Total Nacional,Aragon,Teruel,Viajero,Espana,2023-01-01,18899
Total Nacional,Aragon,Teruel,Viajero,Extranjero,2023-09-01,6334
Total Nacional,Aragon,Teruel,Viajero,Extranjero,2023-08-01,6020
Total Nacional,Aragon,Teruel,Viajero,Extranjero,2023-07-01,4877
Total Nacional,Aragon,Teruel,Viajero,Extranjero,2023-06-01,4855
Total Nacional,Aragon,Teruel,Viajero,Extranjero,2023-05-01,6493
Total Nacional,Aragon,Teruel,Viajero,Extranjero,2023-04-01,4667
Total Nacional,Aragon,Teruel,Viajero,Extranjero,2023-03-01,3423
Total Nacional,Aragon,Teruel,Viajero,Extranjero,2023-02-01,2493
Total Nacional,Aragon,Teruel,Viajero,Extranjero,2023-01-01,1934
Total Nacional,Aragon,Zaragoza,Viajero,General,2023-09-01,146994
Total Nacional,Aragon,Zaragoza,Viajero,General,2023-08-01,160267
Total Nacional,Aragon,Zaragoza,Viajero,General,2023-07-01,140858
Total Nacional,Aragon,Zaragoza,Viajero,General,2023-06-01,128206
Total Nacional,Aragon,Zaragoza,Viajero,General,2023-05-01,130123
Total Nacional,Aragon,Zaragoza,Viajero,General,2023-04-01,141089
Total Nacional,Aragon,Zaragoza,Viajero,General,2023-03-01,119106
Total Nacional,Aragon,Zaragoza,Viajero,General,2023-02-01,91395
Total Nacional,Aragon,Zaragoza,Viajero,General,2023-01-01,81932
Total Nacional,Aragon,Zaragoza,Viajero,Espana,2023-09-01,105501
Total Nacional,Aragon,Zaragoza,Viajero,Espana,2023-08-01,107405
Total Nacional,Aragon,Zaragoza,Viajero,Espana,2023-07-01,96540
Total Nacional,Aragon,Zaragoza,Viajero,Espana,2023-06-01,95460
Total Nacional,Aragon,Zaragoza,Viajero,Espana,2023-05-01,91629
Total Nacional,Aragon,Zaragoza,Viajero,Espana,2023-04-01,109647
Total Nacional,Aragon,Zaragoza,Viajero,Espana,2023-03-01,93656
Total Nacional,Aragon,Zaragoza,Viajero,Espana,2023-02-01,71372
Total Nacional,Aragon,Zaragoza,Viajero,Espana,2023-01-01,63197
Total Nacional,Aragon,Zaragoza,Viajero,Extranjero,2023-09-01,41493
Total Nacional,Aragon,Zaragoza,Viajero,Extranjero,2023-08-01,52862
Total Nacional,Aragon,Zaragoza,Viajero,Extranjero,2023-07-01,44318
Total Nacional,Aragon,Zaragoza,Viajero,Extranjero,2023-06-01,32746
Total Nacional,Aragon,Zaragoza,Viajero,Extranjero,2023-05-01,38493
Total Nacional,Aragon,Zaragoza,Viajero,Extranjero,2023-04-01,31442
Total Nacional,Aragon,Zaragoza,Viajero,Extranjero,2023-03-01,25450
Total Nacional,Aragon,Zaragoza,Viajero,Extranjero,2023-02-01,20024
Total Nacional,Aragon,Zaragoza,Viajero,Extranjero,2023-01-01,18735
Total Nacional,Principado de asturias,Asturias,Viajero,General,2023-09-01,235417
Total Nacional,Principado de asturias,Asturias,Viajero,General,2023-08-01,272339
Total Nacional,Principado de asturias,Asturias,Viajero,General,2023-07-01,257441
Total Nacional,Principado de asturias,Asturias,Viajero,General,2023-06-01,203376
Total Nacional,Principado de asturias,Asturias,Viajero,General,2023-05-01,166139
Total Nacional,Principado de asturias,Asturias,Viajero,General,2023-04-01,173845
Total Nacional,Principado de asturias,Asturias,Viajero,General,2023-03-01,104269
Total Nacional,Principado de asturias,Asturias,Viajero,General,2023-02-01,81532
Total Nacional,Principado de asturias,Asturias,Viajero,General,2023-01-01,68408
Total Nacional,Principado de asturias,Asturias,Viajero,Espana,2023-09-01,175237
Total Nacional,Principado de asturias,Asturias,Viajero,Espana,2023-08-01,219591
Total Nacional,Principado de asturias,Asturias,Viajero,Espana,2023-07-01,207280
Total Nacional,Principado de asturias,Asturias,Viajero,Espana,2023-06-01,150489
Total Nacional,Principado de asturias,Asturias,Viajero,Espana,2023-05-01,117304
Total Nacional,Principado de asturias,Asturias,Viajero,Espana,2023-04-01,145263
Total Nacional,Principado de asturias,Asturias,Viajero,Espana,2023-03-01,91149
Total Nacional,Principado de asturias,Asturias,Viajero,Espana,2023-02-01,72532
Total Nacional,Principado de asturias,Asturias,Viajero,Espana,2023-01-01,61035
Total Nacional,Principado de asturias,Asturias,Viajero,Extranjero,2023-09-01,60180
Total Nacional,Principado de asturias,Asturias,Viajero,Extranjero,2023-08-01,52748
Total Nacional,Principado de asturias,Asturias,Viajero,Extranjero,2023-07-01,50161
Total Nacional,Principado de asturias,Asturias,Viajero,Extranjero,2023-06-01,52887
Total Nacional,Principado de asturias,Asturias,Viajero,Extranjero,2023-05-01,48836
Total Nacional,Principado de asturias,Asturias,Viajero,Extranjero,2023-04-01,28581
Total Nacional,Principado de asturias,Asturias,Viajero,Extranjero,2023-03-01,13120
Total Nacional,Principado de asturias,Asturias,Viajero,Extranjero,2023-02-01,9000
Total Nacional,Principado de asturias,Asturias,Viajero,Extranjero,2023-01-01,7373
Total Nacional,Islas baleares,Islas baleares,Viajero,General,2023-09-01,1677754
Total Nacional,Islas baleares,Islas baleares,Viajero,General,2023-08-01,1940485
Total Nacional,Islas baleares,Islas baleares,Viajero,General,2023-07-01,1947381
Total Nacional,Islas baleares,Islas baleares,Viajero,General,2023-06-01,1858620
Total Nacional,Islas baleares,Islas baleares,Viajero,General,2023-05-01,1507859
Total Nacional,Islas baleares,Islas baleares,Viajero,General,2023-04-01,776864
Total Nacional,Islas baleares,Islas baleares,Viajero,General,2023-03-01,233738
Total Nacional,Islas baleares,Islas baleares,Viajero,General,2023-02-01,128873
Total Nacional,Islas baleares,Islas baleares,Viajero,General,2023-01-01,75556
Total Nacional,Islas baleares,Islas baleares,Viajero,Espana,2023-09-01,175619
Total Nacional,Islas baleares,Islas baleares,Viajero,Espana,2023-08-01,242454
Total Nacional,Islas baleares,Islas baleares,Viajero,Espana,2023-07-01,240051
