Totales_Territoriales,Comunidades_Ciudades_Autonomas,Viajeros_Pernoctaciones,Residencia,Periodo,Total,ID_viajeros,ID_pernoctaciones,ID_total
Total Nacional,Canarias,Viajero,General,2023-08-01,966187,271,271,271
Total Nacional,Canarias,Viajero,General,2023-07-01,967317,272,272,272
Total Nacional,Canarias,Viajero,General,2023-06-01,861990,273,273,273
Total Nacional,Canarias,Viajero,General,2023-05-01,825558,274,274,274
Total Nacional,Canarias,Viajero,General,2023-04-01,914244,275,275,275
Total Nacional,Canarias,Viajero,General,2023-03-01,894065,276,276,276
Total Nacional,Canarias,Viajero,General,2023-02-01,824229,277,277,277
Total Nacional,Canarias,Viajero,General,2023-01-01,805193,278,278,278
Total Nacional,Canarias,Viajero,Espana,2023-09-01,234709,279,279,279
Total Nacional,Canarias,Viajero,Espana,2023-08-01,298116,280,280,280
Total Nacional,Canarias,Viajero,Espana,2023-07-01,287852,281,281,281
Total Nacional,Canarias,Viajero,Espana,2023-06-01,240184,282,282,282
Total Nacional,Canarias,Viajero,Espana,2023-05-01,208739,283,283,283
Total Nacional,Canarias,Viajero,Espana,2023-04-01,224341,284,284,284
Total Nacional,Canarias,Viajero,Espana,2023-03-01,155931,285,285,285
Total Nacional,Canarias,Viajero,Espana,2023-02-01,125141,286,286,286
Total Nacional,Canarias,Viajero,Espana,2023-01-01,128768,287,287,287
Total Nacional,Canarias,Viajero,Extranjero,2023-09-01,636529,288,288,288
Total Nacional,Canarias,Viajero,Extranjero,2023-08-01,668071,289,289,289
Total Nacional,Canarias,Viajero,Extranjero,2023-07-01,679465,290,290,290
Total Nacional,Canarias,Viajero,Extranjero,2023-06-01,621806,291,291,291
Total Nacional,Canarias,Viajero,Extranjero,2023-05-01,616818,292,292,292
Total Nacional,Canarias,Viajero,Extranjero,2023-04-01,689903,293,293,293
Total Nacional,Canarias,Viajero,Extranjero,2023-03-01,738134,294,294,294
Total Nacional,Canarias,Viajero,Extranjero,2023-02-01,699088,295,295,295
Total Nacional,Canarias,Viajero,Extranjero,2023-01-01,676426,296,296,296
Total Nacional,Canarias,Pernoctaciones,General,2023-09-01,5835103,297,297,297
Total Nacional,Canarias,Pernoctaciones,General,2023-08-01,6502919,298,298,298
Total Nacional,Canarias,Pernoctaciones,General,2023-07-01,6251835,299,299,299
Total Nacional,Canarias,Pernoctaciones,General,2023-06-01,5443930,300,300,300
Total Nacional,Canarias,Pernoctaciones,General,2023-05-01,5144803,301,301,301
Total Nacional,Canarias,Pernoctaciones,General,2023-04-01,5532582,302,302,302
Total Nacional,Canarias,Pernoctaciones,General,2023-03-01,5789232,303,303,303
Total Nacional,Canarias,Pernoctaciones,General,2023-02-01,5475474,304,304,304
Total Nacional,Canarias,Pernoctaciones,General,2023-01-01,5703399,305,305,305
Total Nacional,Canarias,Pernoctaciones,Espana,2023-09-01,930639,306,306,306
Total Nacional,Canarias,Pernoctaciones,Espana,2023-08-01,1331447,307,307,307
Total Nacional,Canarias,Pernoctaciones,Espana,2023-07-01,1151916,308,308,308
Total Nacional,Canarias,Pernoctaciones,Espana,2023-06-01,854579,309,309,309
Total Nacional,Canarias,Pernoctaciones,Espana,2023-05-01,724037,310,310,310
Total Nacional,Canarias,Pernoctaciones,Espana,2023-04-01,766813,311,311,311
Total Nacional,Canarias,Pernoctaciones,Espana,2023-03-01,543626,312,312,312
Total Nacional,Canarias,Pernoctaciones,Espana,2023-02-01,464144,313,313,313
Total Nacional,Canarias,Pernoctaciones,Espana,2023-01-01,525817,314,314,314
Total Nacional,Canarias,Pernoctaciones,Extranjero,2023-09-01,4904464,315,315,315
Total Nacional,Canarias,Pernoctaciones,Extranjero,2023-08-01,5171472,316,316,316
Total Nacional,Canarias,Pernoctaciones,Extranjero,2023-07-01,5099919,317,317,317
Total Nacional,Canarias,Pernoctaciones,Extranjero,2023-06-01,4589350,318,318,318
Total Nacional,Canarias,Pernoctaciones,Extranjero,2023-05-01,4420766,319,319,319
Total Nacional,Canarias,Pernoctaciones,Extranjero,2023-04-01,4765769,320,320,320
Total Nacional,Canarias,Pernoctaciones,Extranjero,2023-03-01,5245606,321,321,321
Total Nacional,Canarias,Pernoctaciones,Extranjero,2023-02-01,5011330,322,322,322
Total Nacional,Canarias,Pernoctaciones,Extranjero,2023-01-01,5177582,323,323,323
Total Nacional,Cantabria,Viajero,General,2023-09-01,150367,324,324,324
Total Nacional,Cantabria,Viajero,General,2023-08-01,215073,325,325,325
Total Nacional,Cantabria,Viajero,General,2023-07-01,196978,326,326,326
Total Nacional,Cantabria,Viajero,General,2023-06-01,150882,327,327,327
Total Nacional,Cantabria,Viajero,General,2023-05-01,116389,328,328,328
Total Nacional,Cantabria,Viajero,General,2023-04-01,128861,329,329,329
Total Nacional,Cantabria,Viajero,General,2023-03-01,72903,330,330,330
Total Nacional,Cantabria,Viajero,General,2023-02-01,56000,331,331,331
Total Nacional,Cantabria,Viajero,General,2023-01-01,41591,332,332,332
Total Nacional,Cantabria,Viajero,Espana,2023-09-01,104286,333,333,333
Total Nacional,Cantabria,Viajero,Espana,2023-08-01,172708,334,334,334
Total Nacional,Cantabria,Viajero,Espana,2023-07-01,156398,335,335,335
Total Nacional,Cantabria,Viajero,Espana,2023-06-01,110196,336,336,336
Total Nacional,Cantabria,Viajero,Espana,2023-05-01,78991,337,337,337
