Totales_Territoriales,Comunidades_Ciudades_Autonomas,Provincia,Viajeros_Pernoctaciones,Residencia,Periodo,Total,ID_pernoctaciones
Total Nacional,Andalucia,Sevilla,Pernoctaciones,General,2023-01-31,488618,197
Total Nacional,Andalucia,Sevilla,Pernoctaciones,Espana,2023-09-30,254554,198
Total Nacional,Andalucia,Sevilla,Pernoctaciones,Espana,2023-08-31,236062,199
Total Nacional,Andalucia,Sevilla,Pernoctaciones,Espana,2023-07-31,228202,200
Total Nacional,Andalucia,Sevilla,Pernoctaciones,Espana,2023-06-30,265736,201
Total Nacional,Andalucia,Sevilla,Pernoctaciones,Espana,2023-05-31,284072,202
Total Nacional,Andalucia,Sevilla,Pernoctaciones,Espana,2023-04-30,302281,203
Total Nacional,Andalucia,Sevilla,Pernoctaciones,Espana,2023-03-31,315512,204
Total Nacional,Andalucia,Sevilla,Pernoctaciones,Espana,2023-02-28,264329,205
Total Nacional,Andalucia,Sevilla,Pernoctaciones,Espana,2023-01-31,241109,206
Total Nacional,Andalucia,Sevilla,Pernoctaciones,Extranjero,2023-09-30,415524,207
Total Nacional,Andalucia,Sevilla,Pernoctaciones,Extranjero,2023-08-31,407583,208
Total Nacional,Andalucia,Sevilla,Pernoctaciones,Extranjero,2023-07-31,330986,209
Total Nacional,Andalucia,Sevilla,Pernoctaciones,Extranjero,2023-06-30,354930,210
Total Nacional,Andalucia,Sevilla,Pernoctaciones,Extranjero,2023-05-31,411214,211
Total Nacional,Andalucia,Sevilla,Pernoctaciones,Extranjero,2023-04-30,415677,212
Total Nacional,Andalucia,Sevilla,Pernoctaciones,Extranjero,2023-03-31,338938,213
Total Nacional,Andalucia,Sevilla,Pernoctaciones,Extranjero,2023-02-28,267537,214
Total Nacional,Andalucia,Sevilla,Pernoctaciones,Extranjero,2023-01-31,247510,215
Total Nacional,Aragon,Huesca,Pernoctaciones,General,2023-09-30,170912,216
Total Nacional,Aragon,Huesca,Pernoctaciones,General,2023-08-31,331444,217
Total Nacional,Aragon,Huesca,Pernoctaciones,General,2023-07-31,260171,218
Total Nacional,Aragon,Huesca,Pernoctaciones,General,2023-06-30,156215,219
Total Nacional,Aragon,Huesca,Pernoctaciones,General,2023-05-31,106333,220
Total Nacional,Aragon,Huesca,Pernoctaciones,General,2023-04-30,150405,221
Total Nacional,Aragon,Huesca,Pernoctaciones,General,2023-03-31,167060,222
Total Nacional,Aragon,Huesca,Pernoctaciones,General,2023-02-28,209735,223
Total Nacional,Aragon,Huesca,Pernoctaciones,General,2023-01-31,161965,224
Total Nacional,Aragon,Huesca,Pernoctaciones,Espana,2023-09-30,134576,225
Total Nacional,Aragon,Huesca,Pernoctaciones,Espana,2023-08-31,281965,226
Total Nacional,Aragon,Huesca,Pernoctaciones,Espana,2023-07-31,209023,227
Total Nacional,Aragon,Huesca,Pernoctaciones,Espana,2023-06-30,118629,228
Total Nacional,Aragon,Huesca,Pernoctaciones,Espana,2023-05-31,76609,229
Total Nacional,Aragon,Huesca,Pernoctaciones,Espana,2023-04-30,128794,230
Total Nacional,Aragon,Huesca,Pernoctaciones,Espana,2023-03-31,151205,231
Total Nacional,Aragon,Huesca,Pernoctaciones,Espana,2023-02-28,186032,232
Total Nacional,Aragon,Huesca,Pernoctaciones,Espana,2023-01-31,150147,233
Total Nacional,Aragon,Huesca,Pernoctaciones,Extranjero,2023-09-30,36337,234
Total Nacional,Aragon,Huesca,Pernoctaciones,Extranjero,2023-08-31,49479,235
Total Nacional,Aragon,Huesca,Pernoctaciones,Extranjero,2023-07-31,51148,236
Total Nacional,Aragon,Huesca,Pernoctaciones,Extranjero,2023-06-30,37586,237
Total Nacional,Aragon,Huesca,Pernoctaciones,Extranjero,2023-05-31,29724,238
Total Nacional,Aragon,Huesca,Pernoctaciones,Extranjero,2023-04-30,21611,239
Total Nacional,Aragon,Huesca,Pernoctaciones,Extranjero,2023-03-31,15856,240
Total Nacional,Aragon,Huesca,Pernoctaciones,Extranjero,2023-02-28,23703,241
Total Nacional,Aragon,Huesca,Pernoctaciones,Extranjero,2023-01-31,11818,242
Total Nacional,Aragon,Teruel,Pernoctaciones,General,2023-09-30,78563,243
Total Nacional,Aragon,Teruel,Pernoctaciones,General,2023-08-31,108913,244
Total Nacional,Aragon,Teruel,Pernoctaciones,General,2023-07-31,74817,245
Total Nacional,Aragon,Teruel,Pernoctaciones,General,2023-06-30,68935,246
Total Nacional,Aragon,Teruel,Pernoctaciones,General,2023-05-31,65283,247
Total Nacional,Aragon,Teruel,Pernoctaciones,General,2023-04-30,84714,248
Total Nacional,Aragon,Teruel,Pernoctaciones,General,2023-03-31,59756,249
Total Nacional,Aragon,Teruel,Pernoctaciones,General,2023-02-28,54839,250
Total Nacional,Aragon,Teruel,Pernoctaciones,General,2023-01-31,41625,251
Total Nacional,Aragon,Teruel,Pernoctaciones,Espana,2023-09-30,66478,252
Total Nacional,Aragon,Teruel,Pernoctaciones,Espana,2023-08-31,94021,253
Total Nacional,Aragon,Teruel,Pernoctaciones,Espana,2023-07-31,64133,254
Total Nacional,Aragon,Teruel,Pernoctaciones,Espana,2023-06-30,58205,255
Total Nacional,Aragon,Teruel,Pernoctaciones,Espana,2023-05-31,51991,256
Total Nacional,Aragon,Teruel,Pernoctaciones,Espana,2023-04-30,74872,257
Total Nacional,Aragon,Teruel,Pernoctaciones,Espana,2023-03-31,51445,258
Total Nacional,Aragon,Teruel,Pernoctaciones,Espana,2023-02-28,49264,259
Total Nacional,Aragon,Teruel,Pernoctaciones,Espana,2023-01-31,37050,260
Total Nacional,Aragon,Teruel,Pernoctaciones,Extranjero,2023-09-30,12085,261
Total Nacional,Aragon,Teruel,Pernoctaciones,Extranjero,2023-08-31,14892,262
Total Nacional,Aragon,Teruel,Pernoctaciones,Extranjero,2023-07-31,10683,263
Total Nacional,Aragon,Teruel,Pernoctaciones,Extranjero,2023-06-30,10730,264
Total Nacional,Aragon,Teruel,Pernoctaciones,Extranjero,2023-05-31,13293,265
Total Nacional,Aragon,Teruel,Pernoctaciones,Extranjero,2023-04-30,9842,266
Total Nacional,Aragon,Teruel,Pernoctaciones,Extranjero,2023-03-31,8311,267
Total Nacional,Aragon,Teruel,Pernoctaciones,Extranjero,2023-02-28,5575,268
Total Nacional,Aragon,Teruel,Pernoctaciones,Extranjero,2023-01-31,4575,269
Total Nacional,Aragon,Zaragoza,Pernoctaciones,General,2023-09-30,258779,270
Total Nacional,Aragon,Zaragoza,Pernoctaciones,General,2023-08-31,262450,271
Total Nacional,Aragon,Zaragoza,Pernoctaciones,General,2023-07-31,245693,272
Total Nacional,Aragon,Zaragoza,Pernoctaciones,General,2023-06-30,234752,273
Total Nacional,Aragon,Zaragoza,Pernoctaciones,General,2023-05-31,236384,274
Total Nacional,Aragon,Zaragoza,Pernoctaciones,General,2023-04-30,258139,275
Total Nacional,Aragon,Zaragoza,Pernoctaciones,General,2023-03-31,218837,276
Total Nacional,Aragon,Zaragoza,Pernoctaciones,General,2023-02-28,163082,277
Total Nacional,Aragon,Zaragoza,Pernoctaciones,General,2023-01-31,143874,278
Total Nacional,Aragon,Zaragoza,Pernoctaciones,Espana,2023-09-30,190631,279
Total Nacional,Aragon,Zaragoza,Pernoctaciones,Espana,2023-08-31,182172,280
Total Nacional,Aragon,Zaragoza,Pernoctaciones,Espana,2023-07-31,173752,281
Total Nacional,Aragon,Zaragoza,Pernoctaciones,Espana,2023-06-30,174600,282
Total Nacional,Aragon,Zaragoza,Pernoctaciones,Espana,2023-05-31,164278,283
Total Nacional,Aragon,Zaragoza,Pernoctaciones,Espana,2023-04-30,201685,284
Total Nacional,Aragon,Zaragoza,Pernoctaciones,Espana,2023-03-31,167826,285
Total Nacional,Aragon,Zaragoza,Pernoctaciones,Espana,2023-02-28,123622,286
Total Nacional,Aragon,Zaragoza,Pernoctaciones,Espana,2023-01-31,106992,287
Total Nacional,Aragon,Zaragoza,Pernoctaciones,Extranjero,2023-09-30,68148,288
