Totales_Territoriales,Comunidades_Ciudades_Autonomas,Provincia,Viajeros_Pernoctaciones,Residencia,Periodo,Total,ID_pernoctaciones
Total Nacional,La rioja,La rioja,Pernoctaciones,Espana,2017-08-31,113515,12130
Total Nacional,La rioja,La rioja,Pernoctaciones,Espana,2017-07-31,80386,12131
Total Nacional,La rioja,La rioja,Pernoctaciones,Espana,2017-06-30,70944,12132
Total Nacional,La rioja,La rioja,Pernoctaciones,Espana,2017-05-31,63699,12133
Total Nacional,La rioja,La rioja,Pernoctaciones,Espana,2017-04-30,81589,12134
Total Nacional,La rioja,La rioja,Pernoctaciones,Espana,2017-03-31,63254,12135
Total Nacional,La rioja,La rioja,Pernoctaciones,Espana,2017-02-28,49768,12136
Total Nacional,La rioja,La rioja,Pernoctaciones,Espana,2017-01-31,41016,12137
Total Nacional,La rioja,La rioja,Pernoctaciones,Extranjero,2017-12-31,5232,12138
Total Nacional,La rioja,La rioja,Pernoctaciones,Extranjero,2017-11-30,8707,12139
Total Nacional,La rioja,La rioja,Pernoctaciones,Extranjero,2017-10-31,17597,12140
Total Nacional,La rioja,La rioja,Pernoctaciones,Extranjero,2017-09-30,30810,12141
Total Nacional,La rioja,La rioja,Pernoctaciones,Extranjero,2017-08-31,18274,12142
Total Nacional,La rioja,La rioja,Pernoctaciones,Extranjero,2017-07-31,18908,12143
Total Nacional,La rioja,La rioja,Pernoctaciones,Extranjero,2017-06-30,23367,12144
Total Nacional,La rioja,La rioja,Pernoctaciones,Extranjero,2017-05-31,27887,12145
Total Nacional,La rioja,La rioja,Pernoctaciones,Extranjero,2017-04-30,16471,12146
Total Nacional,La rioja,La rioja,Pernoctaciones,Extranjero,2017-03-31,8257,12147
Total Nacional,La rioja,La rioja,Pernoctaciones,Extranjero,2017-02-28,5637,12148
Total Nacional,La rioja,La rioja,Pernoctaciones,Extranjero,2017-01-31,6001,12149
Total Nacional,Andalucia,Almeria,Pernoctaciones,General,2016-12-31,117350,12150
Total Nacional,Andalucia,Almeria,Pernoctaciones,General,2016-11-30,141811,12151
Total Nacional,Andalucia,Almeria,Pernoctaciones,General,2016-10-31,359240,12152
Total Nacional,Andalucia,Almeria,Pernoctaciones,General,2016-09-30,734148,12153
Total Nacional,Andalucia,Almeria,Pernoctaciones,General,2016-08-31,1060041,12154
Total Nacional,Andalucia,Almeria,Pernoctaciones,General,2016-07-31,990071,12155
Total Nacional,Andalucia,Almeria,Pernoctaciones,General,2016-06-30,610801,12156
Total Nacional,Andalucia,Almeria,Pernoctaciones,General,2016-05-31,447583,12157
Total Nacional,Andalucia,Almeria,Pernoctaciones,General,2016-04-30,313560,12158
Total Nacional,Andalucia,Almeria,Pernoctaciones,General,2016-03-31,366584,12159
Total Nacional,Andalucia,Almeria,Pernoctaciones,General,2016-02-29,235995,12160
Total Nacional,Andalucia,Almeria,Pernoctaciones,General,2016-01-31,137948,12161
Total Nacional,Andalucia,Almeria,Pernoctaciones,Espana,2016-12-31,85398,12162
Total Nacional,Andalucia,Almeria,Pernoctaciones,Espana,2016-11-30,92057,12163
Total Nacional,Andalucia,Almeria,Pernoctaciones,Espana,2016-10-31,184808,12164
Total Nacional,Andalucia,Almeria,Pernoctaciones,Espana,2016-09-30,459333,12165
Total Nacional,Andalucia,Almeria,Pernoctaciones,Espana,2016-08-31,765962,12166
Total Nacional,Andalucia,Almeria,Pernoctaciones,Espana,2016-07-31,727192,12167
Total Nacional,Andalucia,Almeria,Pernoctaciones,Espana,2016-06-30,387156,12168
Total Nacional,Andalucia,Almeria,Pernoctaciones,Espana,2016-05-31,295388,12169
Total Nacional,Andalucia,Almeria,Pernoctaciones,Espana,2016-04-30,243159,12170
Total Nacional,Andalucia,Almeria,Pernoctaciones,Espana,2016-03-31,295290,12171
Total Nacional,Andalucia,Almeria,Pernoctaciones,Espana,2016-02-29,180042,12172
Total Nacional,Andalucia,Almeria,Pernoctaciones,Espana,2016-01-31,100983,12173
Total Nacional,Andalucia,Almeria,Pernoctaciones,Extranjero,2016-12-31,31952,12174
Total Nacional,Andalucia,Almeria,Pernoctaciones,Extranjero,2016-11-30,49755,12175
Total Nacional,Andalucia,Almeria,Pernoctaciones,Extranjero,2016-10-31,174433,12176
Total Nacional,Andalucia,Almeria,Pernoctaciones,Extranjero,2016-09-30,274815,12177
Total Nacional,Andalucia,Almeria,Pernoctaciones,Extranjero,2016-08-31,294079,12178
Total Nacional,Andalucia,Almeria,Pernoctaciones,Extranjero,2016-07-31,262879,12179
Total Nacional,Andalucia,Almeria,Pernoctaciones,Extranjero,2016-06-30,223646,12180
Total Nacional,Andalucia,Almeria,Pernoctaciones,Extranjero,2016-05-31,152195,12181
Total Nacional,Andalucia,Almeria,Pernoctaciones,Extranjero,2016-04-30,70401,12182
Total Nacional,Andalucia,Almeria,Pernoctaciones,Extranjero,2016-03-31,71294,12183
Total Nacional,Andalucia,Almeria,Pernoctaciones,Extranjero,2016-02-29,55953,12184
Total Nacional,Andalucia,Almeria,Pernoctaciones,Extranjero,2016-01-31,36965,12185
Total Nacional,Andalucia,Cadiz,Pernoctaciones,General,2016-12-31,196032,12186
Total Nacional,Andalucia,Cadiz,Pernoctaciones,General,2016-11-30,241278,12187
Total Nacional,Andalucia,Cadiz,Pernoctaciones,General,2016-10-31,712884,12188
Total Nacional,Andalucia,Cadiz,Pernoctaciones,General,2016-09-30,921756,12189
Total Nacional,Andalucia,Cadiz,Pernoctaciones,General,2016-08-31,1260714,12190
Total Nacional,Andalucia,Cadiz,Pernoctaciones,General,2016-07-31,1155473,12191
Total Nacional,Andalucia,Cadiz,Pernoctaciones,General,2016-06-30,853861,12192
Total Nacional,Andalucia,Cadiz,Pernoctaciones,General,2016-05-31,686981,12193
Total Nacional,Andalucia,Cadiz,Pernoctaciones,General,2016-04-30,504981,12194
Total Nacional,Andalucia,Cadiz,Pernoctaciones,General,2016-03-31,424887,12195
Total Nacional,Andalucia,Cadiz,Pernoctaciones,General,2016-02-29,257288,12196
Total Nacional,Andalucia,Cadiz,Pernoctaciones,General,2016-01-31,156952,12197
Total Nacional,Andalucia,Cadiz,Pernoctaciones,Espana,2016-12-31,132281,12198
Total Nacional,Andalucia,Cadiz,Pernoctaciones,Espana,2016-11-30,120168,12199
Total Nacional,Andalucia,Cadiz,Pernoctaciones,Espana,2016-10-31,275678,12200
Total Nacional,Andalucia,Cadiz,Pernoctaciones,Espana,2016-09-30,443298,12201
Total Nacional,Andalucia,Cadiz,Pernoctaciones,Espana,2016-08-31,864189,12202
Total Nacional,Andalucia,Cadiz,Pernoctaciones,Espana,2016-07-31,774670,12203
Total Nacional,Andalucia,Cadiz,Pernoctaciones,Espana,2016-06-30,451683,12204
Total Nacional,Andalucia,Cadiz,Pernoctaciones,Espana,2016-05-31,306212,12205
Total Nacional,Andalucia,Cadiz,Pernoctaciones,Espana,2016-04-30,217605,12206
Total Nacional,Andalucia,Cadiz,Pernoctaciones,Espana,2016-03-31,235438,12207
Total Nacional,Andalucia,Cadiz,Pernoctaciones,Espana,2016-02-29,167334,12208
Total Nacional,Andalucia,Cadiz,Pernoctaciones,Espana,2016-01-31,92286,12209
Total Nacional,Andalucia,Cadiz,Pernoctaciones,Extranjero,2016-12-31,63751,12210
Total Nacional,Andalucia,Cadiz,Pernoctaciones,Extranjero,2016-11-30,121110,12211
Total Nacional,Andalucia,Cadiz,Pernoctaciones,Extranjero,2016-10-31,437206,12212
Total Nacional,Andalucia,Cadiz,Pernoctaciones,Extranjero,2016-09-30,478458,12213
Total Nacional,Andalucia,Cadiz,Pernoctaciones,Extranjero,2016-08-31,396525,12214
Total Nacional,Andalucia,Cadiz,Pernoctaciones,Extranjero,2016-07-31,380803,12215
Total Nacional,Andalucia,Cadiz,Pernoctaciones,Extranjero,2016-06-30,402178,12216
Total Nacional,Andalucia,Cadiz,Pernoctaciones,Extranjero,2016-05-31,380769,12217
Total Nacional,Andalucia,Cadiz,Pernoctaciones,Extranjero,2016-04-30,287375,12218
Total Nacional,Andalucia,Cadiz,Pernoctaciones,Extranjero,2016-03-31,189449,12219
Total Nacional,Andalucia,Cadiz,Pernoctaciones,Extranjero,2016-02-29,89954,12220
Total Nacional,Andalucia,Cadiz,Pernoctaciones,Extranjero,2016-01-31,64667,12221
Total Nacional,Andalucia,Cordoba,Pernoctaciones,General,2016-12-31,142614,12222
Total Nacional,Andalucia,Cordoba,Pernoctaciones,General,2016-11-30,139046,12223
Total Nacional,Andalucia,Cordoba,Pernoctaciones,General,2016-10-31,193094,12224
Total Nacional,Andalucia,Cordoba,Pernoctaciones,General,2016-09-30,169648,12225
Total Nacional,Andalucia,Cordoba,Pernoctaciones,General,2016-08-31,176550,12226
Total Nacional,Andalucia,Cordoba,Pernoctaciones,General,2016-07-31,145543,12227
Total Nacional,Andalucia,Cordoba,Pernoctaciones,General,2016-06-30,149847,12228
Total Nacional,Andalucia,Cordoba,Pernoctaciones,General,2016-05-31,206545,12229
Total Nacional,Andalucia,Cordoba,Pernoctaciones,General,2016-04-30,185115,12230
Total Nacional,Andalucia,Cordoba,Pernoctaciones,General,2016-03-31,182753,12231
Total Nacional,Andalucia,Cordoba,Pernoctaciones,General,2016-02-29,132244,12232
Total Nacional,Andalucia,Cordoba,Pernoctaciones,General,2016-01-31,110907,12233
Total Nacional,Andalucia,Cordoba,Pernoctaciones,Espana,2016-12-31,101171,12234
Total Nacional,Andalucia,Cordoba,Pernoctaciones,Espana,2016-11-30,95508,12235
Total Nacional,Andalucia,Cordoba,Pernoctaciones,Espana,2016-10-31,113834,12236
Total Nacional,Andalucia,Cordoba,Pernoctaciones,Espana,2016-09-30,87985,12237
Total Nacional,Andalucia,Cordoba,Pernoctaciones,Espana,2016-08-31,102929,12238
Total Nacional,Andalucia,Cordoba,Pernoctaciones,Espana,2016-07-31,78754,12239
Total Nacional,Andalucia,Cordoba,Pernoctaciones,Espana,2016-06-30,90424,12240
Total Nacional,Andalucia,Cordoba,Pernoctaciones,Espana,2016-05-31,116183,12241
Total Nacional,Andalucia,Cordoba,Pernoctaciones,Espana,2016-04-30,99919,12242
Total Nacional,Andalucia,Cordoba,Pernoctaciones,Espana,2016-03-31,123260,12243
Total Nacional,Andalucia,Cordoba,Pernoctaciones,Espana,2016-02-29,92692,12244
Total Nacional,Andalucia,Cordoba,Pernoctaciones,Espana,2016-01-31,78467,12245
Total Nacional,Andalucia,Cordoba,Pernoctaciones,Extranjero,2016-12-31,41443,12246
Total Nacional,Andalucia,Cordoba,Pernoctaciones,Extranjero,2016-11-30,43538,12247
Total Nacional,Andalucia,Cordoba,Pernoctaciones,Extranjero,2016-10-31,79260,12248
Total Nacional,Andalucia,Cordoba,Pernoctaciones,Extranjero,2016-09-30,81663,12249
Total Nacional,Andalucia,Cordoba,Pernoctaciones,Extranjero,2016-08-31,73620,12250
Total Nacional,Andalucia,Cordoba,Pernoctaciones,Extranjero,2016-07-31,66788,12251
Total Nacional,Andalucia,Cordoba,Pernoctaciones,Extranjero,2016-06-30,59423,12252
Total Nacional,Andalucia,Cordoba,Pernoctaciones,Extranjero,2016-05-31,90361,12253
Total Nacional,Andalucia,Cordoba,Pernoctaciones,Extranjero,2016-04-30,85196,12254
Total Nacional,Andalucia,Cordoba,Pernoctaciones,Extranjero,2016-03-31,59492,12255
Total Nacional,Andalucia,Cordoba,Pernoctaciones,Extranjero,2016-02-29,39552,12256
Total Nacional,Andalucia,Cordoba,Pernoctaciones,Extranjero,2016-01-31,32439,12257
Total Nacional,Andalucia,Granada,Pernoctaciones,General,2016-12-31,430093,12258
Total Nacional,Andalucia,Granada,Pernoctaciones,General,2016-11-30,357872,12259
Total Nacional,Andalucia,Granada,Pernoctaciones,General,2016-10-31,538408,12260
Total Nacional,Andalucia,Granada,Pernoctaciones,General,2016-09-30,552945,12261
Total Nacional,Andalucia,Granada,Pernoctaciones,General,2016-08-31,625113,12262
Total Nacional,Andalucia,Granada,Pernoctaciones,General,2016-07-31,554248,12263
Total Nacional,Andalucia,Granada,Pernoctaciones,General,2016-06-30,488469,12264
Total Nacional,Andalucia,Granada,Pernoctaciones,General,2016-05-31,501178,12265
Total Nacional,Andalucia,Granada,Pernoctaciones,General,2016-04-30,481415,12266
Total Nacional,Andalucia,Granada,Pernoctaciones,General,2016-03-31,534631,12267
Total Nacional,Andalucia,Granada,Pernoctaciones,General,2016-02-29,395174,12268
Total Nacional,Andalucia,Granada,Pernoctaciones,General,2016-01-31,333719,12269
Total Nacional,Andalucia,Granada,Pernoctaciones,Espana,2016-12-31,289454,12270
Total Nacional,Andalucia,Granada,Pernoctaciones,Espana,2016-11-30,221384,12271
Total Nacional,Andalucia,Granada,Pernoctaciones,Espana,2016-10-31,262906,12272
Total Nacional,Andalucia,Granada,Pernoctaciones,Espana,2016-09-30,258163,12273
Total Nacional,Andalucia,Granada,Pernoctaciones,Espana,2016-08-31,368238,12274
Total Nacional,Andalucia,Granada,Pernoctaciones,Espana,2016-07-31,306724,12275
Total Nacional,Andalucia,Granada,Pernoctaciones,Espana,2016-06-30,249176,12276
Total Nacional,Andalucia,Granada,Pernoctaciones,Espana,2016-05-31,231543,12277
Total Nacional,Andalucia,Granada,Pernoctaciones,Espana,2016-04-30,221670,12278
Total Nacional,Andalucia,Granada,Pernoctaciones,Espana,2016-03-31,341824,12279
Total Nacional,Andalucia,Granada,Pernoctaciones,Espana,2016-02-29,258312,12280
Total Nacional,Andalucia,Granada,Pernoctaciones,Espana,2016-01-31,209290,12281
Total Nacional,Andalucia,Granada,Pernoctaciones,Extranjero,2016-12-31,140640,12282
Total Nacional,Andalucia,Granada,Pernoctaciones,Extranjero,2016-11-30,136488,12283
Total Nacional,Andalucia,Granada,Pernoctaciones,Extranjero,2016-10-31,275502,12284
Total Nacional,Andalucia,Granada,Pernoctaciones,Extranjero,2016-09-30,294782,12285
Total Nacional,Andalucia,Granada,Pernoctaciones,Extranjero,2016-08-31,256876,12286
Total Nacional,Andalucia,Granada,Pernoctaciones,Extranjero,2016-07-31,247524,12287
Total Nacional,Andalucia,Granada,Pernoctaciones,Extranjero,2016-06-30,239292,12288
Total Nacional,Andalucia,Granada,Pernoctaciones,Extranjero,2016-05-31,269635,12289
Total Nacional,Andalucia,Granada,Pernoctaciones,Extranjero,2016-04-30,259745,12290
Total Nacional,Andalucia,Granada,Pernoctaciones,Extranjero,2016-03-31,192807,12291
Total Nacional,Andalucia,Granada,Pernoctaciones,Extranjero,2016-02-29,136862,12292
Total Nacional,Andalucia,Granada,Pernoctaciones,Extranjero,2016-01-31,124430,12293
Total Nacional,Andalucia,Huelva,Pernoctaciones,General,2016-12-31,47923,12294
Total Nacional,Andalucia,Huelva,Pernoctaciones,General,2016-11-30,94698,12295
Total Nacional,Andalucia,Huelva,Pernoctaciones,General,2016-10-31,311080,12296
Total Nacional,Andalucia,Huelva,Pernoctaciones,General,2016-09-30,528589,12297
Total Nacional,Andalucia,Huelva,Pernoctaciones,General,2016-08-31,682868,12298
Total Nacional,Andalucia,Huelva,Pernoctaciones,General,2016-07-31,684484,12299
Total Nacional,Andalucia,Huelva,Pernoctaciones,General,2016-06-30,447607,12300
Total Nacional,Andalucia,Huelva,Pernoctaciones,General,2016-05-31,329285,12301
Total Nacional,Andalucia,Huelva,Pernoctaciones,General,2016-04-30,263618,12302
Total Nacional,Andalucia,Huelva,Pernoctaciones,General,2016-03-31,263090,12303
Total Nacional,Andalucia,Huelva,Pernoctaciones,General,2016-02-29,152624,12304
Total Nacional,Andalucia,Huelva,Pernoctaciones,General,2016-01-31,83523,12305
Total Nacional,Andalucia,Huelva,Pernoctaciones,Espana,2016-12-31,40323,12306
Total Nacional,Andalucia,Huelva,Pernoctaciones,Espana,2016-11-30,77429,12307
Total Nacional,Andalucia,Huelva,Pernoctaciones,Espana,2016-10-31,176063,12308
Total Nacional,Andalucia,Huelva,Pernoctaciones,Espana,2016-09-30,340954,12309
Total Nacional,Andalucia,Huelva,Pernoctaciones,Espana,2016-08-31,492037,12310
Total Nacional,Andalucia,Huelva,Pernoctaciones,Espana,2016-07-31,504528,12311
Total Nacional,Andalucia,Huelva,Pernoctaciones,Espana,2016-06-30,255440,12312
Total Nacional,Andalucia,Huelva,Pernoctaciones,Espana,2016-05-31,214960,12313
Total Nacional,Andalucia,Huelva,Pernoctaciones,Espana,2016-04-30,171418,12314
Total Nacional,Andalucia,Huelva,Pernoctaciones,Espana,2016-03-31,154337,12315
Total Nacional,Andalucia,Huelva,Pernoctaciones,Espana,2016-02-29,124164,12316
Total Nacional,Andalucia,Huelva,Pernoctaciones,Espana,2016-01-31,55770,12317
Total Nacional,Andalucia,Huelva,Pernoctaciones,Extranjero,2016-12-31,7600,12318
Total Nacional,Andalucia,Huelva,Pernoctaciones,Extranjero,2016-11-30,17268,12319
Total Nacional,Andalucia,Huelva,Pernoctaciones,Extranjero,2016-10-31,135017,12320
Total Nacional,Andalucia,Huelva,Pernoctaciones,Extranjero,2016-09-30,187635,12321
Total Nacional,Andalucia,Huelva,Pernoctaciones,Extranjero,2016-08-31,190831,12322
Total Nacional,Andalucia,Huelva,Pernoctaciones,Extranjero,2016-07-31,179956,12323
Total Nacional,Andalucia,Huelva,Pernoctaciones,Extranjero,2016-06-30,192166,12324
Total Nacional,Andalucia,Huelva,Pernoctaciones,Extranjero,2016-05-31,114325,12325
Total Nacional,Andalucia,Huelva,Pernoctaciones,Extranjero,2016-04-30,92200,12326
Total Nacional,Andalucia,Huelva,Pernoctaciones,Extranjero,2016-03-31,108753,12327
Total Nacional,Andalucia,Huelva,Pernoctaciones,Extranjero,2016-02-29,28460,12328
Total Nacional,Andalucia,Huelva,Pernoctaciones,Extranjero,2016-01-31,27753,12329
Total Nacional,Andalucia,Jaen,Pernoctaciones,General,2016-12-31,63217,12330
Total Nacional,Andalucia,Jaen,Pernoctaciones,General,2016-11-30,64798,12331
Total Nacional,Andalucia,Jaen,Pernoctaciones,General,2016-10-31,92449,12332
Total Nacional,Andalucia,Jaen,Pernoctaciones,General,2016-09-30,81406,12333
Total Nacional,Andalucia,Jaen,Pernoctaciones,General,2016-08-31,104001,12334
Total Nacional,Andalucia,Jaen,Pernoctaciones,General,2016-07-31,76709,12335
Total Nacional,Andalucia,Jaen,Pernoctaciones,General,2016-06-30,74954,12336
Total Nacional,Andalucia,Jaen,Pernoctaciones,General,2016-05-31,87423,12337
Total Nacional,Andalucia,Jaen,Pernoctaciones,General,2016-04-30,79293,12338
Total Nacional,Andalucia,Jaen,Pernoctaciones,General,2016-03-31,82103,12339
Total Nacional,Andalucia,Jaen,Pernoctaciones,General,2016-02-29,57321,12340
Total Nacional,Andalucia,Jaen,Pernoctaciones,General,2016-01-31,43741,12341
Total Nacional,Andalucia,Jaen,Pernoctaciones,Espana,2016-12-31,57529,12342
Total Nacional,Andalucia,Jaen,Pernoctaciones,Espana,2016-11-30,57507,12343
Total Nacional,Andalucia,Jaen,Pernoctaciones,Espana,2016-10-31,79017,12344
Total Nacional,Andalucia,Jaen,Pernoctaciones,Espana,2016-09-30,64783,12345
Total Nacional,Andalucia,Jaen,Pernoctaciones,Espana,2016-08-31,92434,12346
Total Nacional,Andalucia,Jaen,Pernoctaciones,Espana,2016-07-31,66038,12347
Total Nacional,Andalucia,Jaen,Pernoctaciones,Espana,2016-06-30,64488,12348
Total Nacional,Andalucia,Jaen,Pernoctaciones,Espana,2016-05-31,71348,12349
Total Nacional,Andalucia,Jaen,Pernoctaciones,Espana,2016-04-30,67118,12350
Total Nacional,Andalucia,Jaen,Pernoctaciones,Espana,2016-03-31,74231,12351
Total Nacional,Andalucia,Jaen,Pernoctaciones,Espana,2016-02-29,51266,12352
Total Nacional,Andalucia,Jaen,Pernoctaciones,Espana,2016-01-31,40037,12353
Total Nacional,Andalucia,Jaen,Pernoctaciones,Extranjero,2016-12-31,5688,12354
Total Nacional,Andalucia,Jaen,Pernoctaciones,Extranjero,2016-11-30,7291,12355
Total Nacional,Andalucia,Jaen,Pernoctaciones,Extranjero,2016-10-31,13432,12356
Total Nacional,Andalucia,Jaen,Pernoctaciones,Extranjero,2016-09-30,16623,12357
Total Nacional,Andalucia,Jaen,Pernoctaciones,Extranjero,2016-08-31,11568,12358
Total Nacional,Andalucia,Jaen,Pernoctaciones,Extranjero,2016-07-31,10671,12359
Total Nacional,Andalucia,Jaen,Pernoctaciones,Extranjero,2016-06-30,10466,12360
Total Nacional,Andalucia,Jaen,Pernoctaciones,Extranjero,2016-05-31,16074,12361
Total Nacional,Andalucia,Jaen,Pernoctaciones,Extranjero,2016-04-30,12175,12362
Total Nacional,Andalucia,Jaen,Pernoctaciones,Extranjero,2016-03-31,7872,12363
Total Nacional,Andalucia,Jaen,Pernoctaciones,Extranjero,2016-02-29,6055,12364
Total Nacional,Andalucia,Jaen,Pernoctaciones,Extranjero,2016-01-31,3703,12365
Total Nacional,Andalucia,Malaga,Pernoctaciones,General,2016-12-31,766817,12366
Total Nacional,Andalucia,Malaga,Pernoctaciones,General,2016-11-30,989824,12367
Total Nacional,Andalucia,Malaga,Pernoctaciones,General,2016-10-31,2021754,12368
Total Nacional,Andalucia,Malaga,Pernoctaciones,General,2016-09-30,2224283,12369
Total Nacional,Andalucia,Malaga,Pernoctaciones,General,2016-08-31,2705090,12370
Total Nacional,Andalucia,Malaga,Pernoctaciones,General,2016-07-31,2500303,12371
Total Nacional,Andalucia,Malaga,Pernoctaciones,General,2016-06-30,2119188,12372
Total Nacional,Andalucia,Malaga,Pernoctaciones,General,2016-05-31,1956480,12373
Total Nacional,Andalucia,Malaga,Pernoctaciones,General,2016-04-30,1648636,12374
Total Nacional,Andalucia,Malaga,Pernoctaciones,General,2016-03-31,1361205,12375
Total Nacional,Andalucia,Malaga,Pernoctaciones,General,2016-02-29,963227,12376
Total Nacional,Andalucia,Malaga,Pernoctaciones,General,2016-01-31,770149,12377
Total Nacional,Andalucia,Malaga,Pernoctaciones,Espana,2016-12-31,304571,12378
Total Nacional,Andalucia,Malaga,Pernoctaciones,Espana,2016-11-30,287113,12379
Total Nacional,Andalucia,Malaga,Pernoctaciones,Espana,2016-10-31,427310,12380
Total Nacional,Andalucia,Malaga,Pernoctaciones,Espana,2016-09-30,481887,12381
Total Nacional,Andalucia,Malaga,Pernoctaciones,Espana,2016-08-31,956516,12382
Total Nacional,Andalucia,Malaga,Pernoctaciones,Espana,2016-07-31,763522,12383
Total Nacional,Andalucia,Malaga,Pernoctaciones,Espana,2016-06-30,497136,12384
Total Nacional,Andalucia,Malaga,Pernoctaciones,Espana,2016-05-31,398288,12385
Total Nacional,Andalucia,Malaga,Pernoctaciones,Espana,2016-04-30,402988,12386
Total Nacional,Andalucia,Malaga,Pernoctaciones,Espana,2016-03-31,463382,12387
Total Nacional,Andalucia,Malaga,Pernoctaciones,Espana,2016-02-29,350860,12388
Total Nacional,Andalucia,Malaga,Pernoctaciones,Espana,2016-01-31,256851,12389
Total Nacional,Andalucia,Malaga,Pernoctaciones,Extranjero,2016-12-31,462246,12390
Total Nacional,Andalucia,Malaga,Pernoctaciones,Extranjero,2016-11-30,702711,12391
Total Nacional,Andalucia,Malaga,Pernoctaciones,Extranjero,2016-10-31,1594444,12392
Total Nacional,Andalucia,Malaga,Pernoctaciones,Extranjero,2016-09-30,1742396,12393
Total Nacional,Andalucia,Malaga,Pernoctaciones,Extranjero,2016-08-31,1748574,12394
Total Nacional,Andalucia,Malaga,Pernoctaciones,Extranjero,2016-07-31,1736782,12395
Total Nacional,Andalucia,Malaga,Pernoctaciones,Extranjero,2016-06-30,1622052,12396
Total Nacional,Andalucia,Malaga,Pernoctaciones,Extranjero,2016-05-31,1558193,12397
Total Nacional,Andalucia,Malaga,Pernoctaciones,Extranjero,2016-04-30,1245647,12398
Total Nacional,Andalucia,Malaga,Pernoctaciones,Extranjero,2016-03-31,897823,12399
Total Nacional,Andalucia,Malaga,Pernoctaciones,Extranjero,2016-02-29,612367,12400
Total Nacional,Andalucia,Malaga,Pernoctaciones,Extranjero,2016-01-31,513298,12401
Total Nacional,Andalucia,Sevilla,Pernoctaciones,General,2016-12-31,428980,12402
Total Nacional,Andalucia,Sevilla,Pernoctaciones,General,2016-11-30,454111,12403
Total Nacional,Andalucia,Sevilla,Pernoctaciones,General,2016-10-31,619254,12404
Total Nacional,Andalucia,Sevilla,Pernoctaciones,General,2016-09-30,576997,12405
Total Nacional,Andalucia,Sevilla,Pernoctaciones,General,2016-08-31,540720,12406
Total Nacional,Andalucia,Sevilla,Pernoctaciones,General,2016-07-31,475426,12407
Total Nacional,Andalucia,Sevilla,Pernoctaciones,General,2016-06-30,526144,12408
Total Nacional,Andalucia,Sevilla,Pernoctaciones,General,2016-05-31,589742,12409
Total Nacional,Andalucia,Sevilla,Pernoctaciones,General,2016-04-30,579932,12410
Total Nacional,Andalucia,Sevilla,Pernoctaciones,General,2016-03-31,541789,12411
Total Nacional,Andalucia,Sevilla,Pernoctaciones,General,2016-02-29,424550,12412
Total Nacional,Andalucia,Sevilla,Pernoctaciones,General,2016-01-31,358182,12413
Total Nacional,Andalucia,Sevilla,Pernoctaciones,Espana,2016-12-31,220762,12414
Total Nacional,Andalucia,Sevilla,Pernoctaciones,Espana,2016-11-30,214345,12415
Total Nacional,Andalucia,Sevilla,Pernoctaciones,Espana,2016-10-31,255208,12416
Total Nacional,Andalucia,Sevilla,Pernoctaciones,Espana,2016-09-30,215559,12417
Total Nacional,Andalucia,Sevilla,Pernoctaciones,Espana,2016-08-31,208517,12418
Total Nacional,Andalucia,Sevilla,Pernoctaciones,Espana,2016-07-31,203857,12419
Total Nacional,Andalucia,Sevilla,Pernoctaciones,Espana,2016-06-30,224252,12420
Total Nacional,Andalucia,Sevilla,Pernoctaciones,Espana,2016-05-31,228992,12421
Total Nacional,Andalucia,Sevilla,Pernoctaciones,Espana,2016-04-30,237411,12422
Total Nacional,Andalucia,Sevilla,Pernoctaciones,Espana,2016-03-31,279190,12423
Total Nacional,Andalucia,Sevilla,Pernoctaciones,Espana,2016-02-29,233185,12424
Total Nacional,Andalucia,Sevilla,Pernoctaciones,Espana,2016-01-31,181638,12425
Total Nacional,Andalucia,Sevilla,Pernoctaciones,Extranjero,2016-12-31,208217,12426
Total Nacional,Andalucia,Sevilla,Pernoctaciones,Extranjero,2016-11-30,239766,12427
Total Nacional,Andalucia,Sevilla,Pernoctaciones,Extranjero,2016-10-31,364047,12428
Total Nacional,Andalucia,Sevilla,Pernoctaciones,Extranjero,2016-09-30,361438,12429
Total Nacional,Andalucia,Sevilla,Pernoctaciones,Extranjero,2016-08-31,332203,12430
Total Nacional,Andalucia,Sevilla,Pernoctaciones,Extranjero,2016-07-31,271570,12431
Total Nacional,Andalucia,Sevilla,Pernoctaciones,Extranjero,2016-06-30,301892,12432
Total Nacional,Andalucia,Sevilla,Pernoctaciones,Extranjero,2016-05-31,360750,12433
Total Nacional,Andalucia,Sevilla,Pernoctaciones,Extranjero,2016-04-30,342522,12434
Total Nacional,Andalucia,Sevilla,Pernoctaciones,Extranjero,2016-03-31,262599,12435
Total Nacional,Andalucia,Sevilla,Pernoctaciones,Extranjero,2016-02-29,191365,12436
Total Nacional,Andalucia,Sevilla,Pernoctaciones,Extranjero,2016-01-31,176544,12437
Total Nacional,Aragon,Huesca,Pernoctaciones,General,2016-12-31,144103,12438
Total Nacional,Aragon,Huesca,Pernoctaciones,General,2016-11-30,54874,12439
Total Nacional,Aragon,Huesca,Pernoctaciones,General,2016-10-31,125085,12440
Total Nacional,Aragon,Huesca,Pernoctaciones,General,2016-09-30,163741,12441
Total Nacional,Aragon,Huesca,Pernoctaciones,General,2016-08-31,351429,12442
Total Nacional,Aragon,Huesca,Pernoctaciones,General,2016-07-31,245840,12443
